2023-04-19 17:12:37 : INFO : (6552 | DIRECTOR) : (IS | Ints) : node01 : TM_6014 : Initializing session [S_letter] at [Wed Apr 19 17:12:37 2023].
2023-04-19 17:12:37 : INFO : (6552 | DIRECTOR) : (IS | Ints) : node01 : TM_6683 : Repository Name: [Repo]
2023-04-19 17:12:37 : INFO : (6552 | DIRECTOR) : (IS | Ints) : node01 : TM_6684 : Server Name: [Ints]
2023-04-19 17:12:37 : INFO : (6552 | DIRECTOR) : (IS | Ints) : node01 : TM_6686 : Folder: [Healthcare_system]
2023-04-19 17:12:37 : INFO : (6552 | DIRECTOR) : (IS | Ints) : node01 : TM_6685 : Workflow: [W_Welcome_letter] Run Instance Name: [] Run Id: [12]
2023-04-19 17:12:37 : INFO : (6552 | DIRECTOR) : (IS | Ints) : node01 : TM_6992 : Operating System Type [NT]
2023-04-19 17:12:37 : INFO : (6552 | DIRECTOR) : (IS | Ints) : node01 : TM_6101 : Mapping name: WELCOME_LETTER [version CheckedOut].
2023-04-19 17:12:37 : INFO : (6552 | DIRECTOR) : (IS | Ints) : node01 : TM_6964 : Date format for the Session is [MM/DD/YYYY HH24:MI:SS.US]
2023-04-19 17:12:37 : INFO : (6552 | DIRECTOR) : (IS | Ints) : node01 : TM_6708 : Using configuration property [EnableDataEncryption,no]
2023-04-19 17:12:37 : INFO : (6552 | DIRECTOR) : (IS | Ints) : node01 : TM_6708 : Using configuration property [StoreHAPersistenceInDB,no]
2023-04-19 17:12:37 : INFO : (6552 | DIRECTOR) : (IS | Ints) : node01 : TM_6703 : Session [S_letter] is run by 64-bit Integration Service  [node01], version [10.5.2], build [0322].
2023-04-19 17:12:37 : INFO : (6552 | MANAGER) : (IS | Ints) : node01 : PETL_24091 : Thread [MANAGER] has the ID [1].
2023-04-19 17:12:37 : INFO : (6552 | MANAGER) : (IS | Ints) : node01 : PETL_24058 : Running Partition Group [1].
2023-04-19 17:12:37 : INFO : (6552 | MANAGER) : (IS | Ints) : node01 : PETL_24000 : Parallel Pipeline Engine initializing.
2023-04-19 17:12:37 : INFO : (6552 | MONITOR) : (IS | Ints) : node01 : PETL_24091 : Thread [MONITOR] has the ID [2].
2023-04-19 17:12:37 : INFO : (6552 | MANAGER) : (IS | Ints) : node01 : PETL_24001 : Parallel Pipeline Engine running.
2023-04-19 17:12:37 : INFO : (6552 | MANAGER) : (IS | Ints) : node01 : PETL_24003 : Initializing session run.
2023-04-19 17:12:37 : INFO : (6552 | MAPPING) : (IS | Ints) : node01 : PETL_24091 : Thread [MAPPING] has the ID [3].
2023-04-19 17:12:37 : INFO : (6552 | MAPPING) : (IS | Ints) : node01 : CMN_1569 : Server Mode: [ASCII]
2023-04-19 17:12:37 : INFO : (6552 | MAPPING) : (IS | Ints) : node01 : CMN_1570 : Server Code page: [MS Windows Latin 1 (ANSI), superset of Latin1]
2023-04-19 17:12:37 : INFO : (6552 | MAPPING) : (IS | Ints) : node01 : TM_6151 : The session sort order is [Binary].
2023-04-19 17:12:37 : INFO : (6552 | MAPPING) : (IS | Ints) : node01 : CMN_65110 : Current Timezone:[UTC +5:30]
2023-04-19 17:12:37 : INFO : (6552 | MAPPING) : (IS | Ints) : node01 : CMN_65112 : Current Process ID:[6552]
2023-04-19 17:12:37 : INFO : (6552 | MAPPING) : (IS | Ints) : node01 : TM_6156 : Using low precision processing.
2023-04-19 17:12:37 : INFO : (6552 | MAPPING) : (IS | Ints) : node01 : TM_6180 : Deadlock retry logic will not be implemented.
2023-04-19 17:12:37 : INFO : (6552 | MAPPING) : (IS | Ints) : node01 : TM_6187 : Session target-based commit interval is [10000].
2023-04-19 17:12:37 : INFO : (6552 | MAPPING) : (IS | Ints) : node01 : TM_6307 : DTM error log disabled. 
2023-04-19 17:12:37 : INFO : (6552 | MAPPING) : (IS | Ints) : node01 : TE_7022 : TShmWriter: Initialized
2023-04-19 17:12:37 : INFO : (6552 | MAPPING) : (IS | Ints) : node01 : XMLW_31071 : Warning! No tag will be generated for NULL data for XML target [Group_Details].
2023-04-19 17:12:37 : INFO : (6552 | MAPPING) : (IS | Ints) : node01 : XMLW_31119 : No attribute tags will be generated for NULL data for XML target [Group_Details].
2023-04-19 17:12:37 : INFO : (6552 | MAPPING) : (IS | Ints) : node01 : DBG_21692 : Group_Details: Cache size = [335544320]
2023-04-19 17:12:37 : INFO : (6552 | MAPPING) : (IS | Ints) : node01 : DBG_21694 : JNRTRANS Partition [0]: Index cache size = [33554432], Data cache size = [67108864]
2023-04-19 17:12:37 : INFO : (6552 | MAPPING) : (IS | Ints) : node01 : TT_11098 : The Joiner transformation [JNRTRANS] is configured with the join algorithm: Nested-Loop.
2023-04-19 17:12:37 : INFO : (6552 | MAPPING) : (IS | Ints) : node01 : DBG_21694 : JNRTRANS1 Partition [0]: Index cache size = [33554432], Data cache size = [67108864]
2023-04-19 17:12:37 : INFO : (6552 | MAPPING) : (IS | Ints) : node01 : TT_11098 : The Joiner transformation [JNRTRANS1] is configured with the join algorithm: Nested-Loop.
2023-04-19 17:12:37 : INFO : (6552 | MAPPING) : (IS | Ints) : node01 : TM_6007 : DTM initialized successfully for session [S_letter]
2023-04-19 17:12:37 : INFO : (6552 | DIRECTOR) : (IS | Ints) : node01 : PETL_24033 : All DTM Connection Info: [<NONE>].
2023-04-19 17:12:37 : INFO : (6552 | MANAGER) : (IS | Ints) : node01 : PETL_24004 : PETL_24004 Starting pre-session tasks. : (Wed Apr 19 17:12:37 2023)
2023-04-19 17:12:37 : INFO : (6552 | PRE-SESS) : (IS | Ints) : node01 : PETL_24091 : Thread [PRE-SESS] has the ID [4].
2023-04-19 17:12:37 : INFO : (6552 | MANAGER) : (IS | Ints) : node01 : PETL_24027 : PETL_24027 Pre-session task completed successfully. : (Wed Apr 19 17:12:37 2023)
2023-04-19 17:12:37 : INFO : (6552 | DIRECTOR) : (IS | Ints) : node01 : PETL_24006 : Starting data movement.
2023-04-19 17:12:37 : INFO : (6552 | MAPPING) : (IS | Ints) : node01 : TM_6660 : Total Buffer Pool size is 3658944 bytes and Block size is 65536 bytes.
2023-04-19 17:12:37 : INFO : (6552 | READER_1_1_1) : (IS | Ints) : node01 : PETL_24091 : Thread [READER_1_1_1] has the ID [5].
2023-04-19 17:12:37 : INFO : (6552 | READER_1_1_1) : (IS | Ints) : node01 : DBG_21438 : Reader: Source is [ORCL], Type [Oracle], User [system]
2023-04-19 17:12:37 : INFO : (6552 | READER_1_1_1) : (IS | Ints) : node01 : BLKR_16003 : Initialization completed successfully.
2023-04-19 17:12:37 : INFO : (6552 | TRANSF_1_1_1) : (IS | Ints) : node01 : PETL_24091 : Thread [TRANSF_1_1_1] has the ID [6].
2023-04-19 17:12:37 : INFO : (6552 | READER_1_2_1) : (IS | Ints) : node01 : PETL_24091 : Thread [READER_1_2_1] has the ID [7].
2023-04-19 17:12:37 : INFO : (6552 | READER_1_2_1) : (IS | Ints) : node01 : DBG_21438 : Reader: Source is [ORCL], Type [Oracle], User [system]
2023-04-19 17:12:37 : INFO : (6552 | READER_1_2_1) : (IS | Ints) : node01 : BLKR_16003 : Initialization completed successfully.
2023-04-19 17:12:37 : INFO : (6552 | TRANSF_1_2_1) : (IS | Ints) : node01 : PETL_24091 : Thread [TRANSF_1_2_1] has the ID [8].
2023-04-19 17:12:37 : INFO : (6552 | READER_1_3_1) : (IS | Ints) : node01 : PETL_24091 : Thread [READER_1_3_1] has the ID [9].
2023-04-19 17:12:37 : INFO : (6552 | READER_1_3_1) : (IS | Ints) : node01 : DBG_21438 : Reader: Source is [ORCL], Type [Oracle], User [system]
2023-04-19 17:12:37 : INFO : (6552 | READER_1_3_1) : (IS | Ints) : node01 : BLKR_16003 : Initialization completed successfully.
2023-04-19 17:12:37 : INFO : (6552 | TRANSF_1_3_1) : (IS | Ints) : node01 : PETL_24091 : Thread [TRANSF_1_3_1] has the ID [10].
2023-04-19 17:12:37 : INFO : (6552 | WRITER_1_*_1) : (IS | Ints) : node01 : PETL_24091 : Thread [WRITER_1_*_1] has the ID [11].
2023-04-19 17:12:37 : INFO : (6552 | WRITER_1_*_1) : (IS | Ints) : node01 : WRT_8270 : Target connection group #1 consists of target(s) [Group_Details::X_GroupDetails]
2023-04-19 17:12:37 : INFO : (6552 | WRITER_1_*_1) : (IS | Ints) : node01 : WRT_8270 : Target connection group #2 consists of target(s) [Group_Details::X_Subgrp]
2023-04-19 17:12:37 : INFO : (6552 | WRITER_1_*_1) : (IS | Ints) : node01 : WRT_8270 : Target connection group #3 consists of target(s) [Group_Details::X_Subscriber]
2023-04-19 17:12:37 : INFO : (6552 | WRITER_1_*_1) : (IS | Ints) : node01 : WRT_8003 : Writer initialization complete.
2023-04-19 17:12:37 : INFO : (6552 | READER_1_3_1) : (IS | Ints) : node01 : BLKR_16007 : Reader run started.
2023-04-19 17:12:37 : INFO : (6552 | READER_1_1_1) : (IS | Ints) : node01 : BLKR_16007 : Reader run started.
2023-04-19 17:12:37 : INFO : (6552 | READER_1_2_1) : (IS | Ints) : node01 : BLKR_16007 : Reader run started.
2023-04-19 17:12:37 : INFO : (6552 | WRITER_1_*_1) : (IS | Ints) : node01 : WRT_8005 : Writer run started.
