#SUBGRP_ID	SUBGRP_NAME	EFF_DT	TERM_DT	GROUP_ID
1	WORKERS	01/09/2013	12/31/2015	
2	ASSOCIATES	01/09/2013	12/31/2015	
3	MANAGERS	01/09/2013	12/31/2015	
4	HRS	01/09/2013	12/31/2015	
7	SECURITY	01/09/2013	12/31/2015	
2	ASSOCIATES	01/06/2013	12/31/2016	
3	MANAGERS	01/06/2013	12/31/2016	
4	HRS	01/06/2013	12/31/2016	
5	DIRECTORS	01/06/2013	12/31/2016	
6	ADMINS	01/06/2013	12/31/2016	
1	WORKERS	01/03/2013	12/31/2017	
2	ASSOCIATES	01/03/2013	12/31/2017	
3	MANAGERS	01/03/2013	12/31/2017	
4	HRS	01/03/2013	12/31/2017	
5	DIRECTORS	01/03/2013	12/31/2017	
6	ADMINS	01/03/2013	12/31/2013	
7	SECURITY	01/03/2013	12/31/2017	
1	WORKERS	01/12/2012	12/31/2014	
2	ASSOCIATES	01/12/2012	12/31/2014	
3	MANAGERS	01/12/2012	12/31/2014	
4	HRS	01/12/2012	12/31/2014	
5	DIRECTORS	01/12/2012	12/31/2012	
6	ADMINS	01/12/2012	12/31/2014	
7	SECURITY	01/12/2012	12/31/2014	
1	WORKERS	01/09/2012	12/31/2025	
2	ASSOCIATES	01/09/2012	12/31/2025	
3	MANAGERS	01/09/2012	12/31/2025	
4	HRS	01/09/2012	12/31/2012	
5	DIRECTORS	01/09/2012	12/31/2015	
6	ADMINS	01/09/2012	12/31/2025	
7	SECURITY	01/09/2012	12/31/2025	
1	WORKERS	01/06/2012	12/31/2026	
2	ASSOCIATES	01/06/2012	12/31/2026	
3	MANAGERS	01/06/2012	12/31/2026	
4	HRS	01/06/2012	12/31/2026	
5	DIRECTORS	01/06/2012	12/31/2026	
7	SECURITY	01/06/2012	12/31/2026	
1	WORKERS	01/03/2012	12/31/2027	
2	ASSOCIATES	01/03/2012	12/31/2027	
3	MANAGERS	01/03/2012	12/31/2027	
4	HRS	01/03/2012	12/31/2027	
5	DIRECTORS	01/03/2012	12/31/2011	
6	ADMINS	01/03/2012	12/31/2027	
7	SECURITY	01/03/2012	12/31/2027	
1	WORKERS	01/12/2011	12/31/2014	
2	ASSOCIATES	01/12/2011	12/31/2014	
3	MANAGERS	01/12/2011	12/31/2014	
4	HRS	01/12/2011	12/31/2014	
5	DIRECTORS	01/12/2011	12/31/2011	
6	ADMINS	01/12/2011	12/31/2014	
7	SECURITY	01/12/2011	12/31/2014	
1	WORKERS	01/09/2011	12/31/2015	
2	ASSOCIATES	01/09/2011	12/31/2015	
